%#zbin centers	n_all	n_cen	n_sat	n_red	n_blue
0.005	16.0	15.0	1.0     5.0     11.0
0.015	150.0	119.0	31.0	20.0	130.0
0.025	947.0	631.0	316.0	151.0	796.0
0.035	727.0	566.0	161.0	108.0	619.0
0.045	981.0	691.0	290.0	177.0	804.0
0.055	2747.0	1638.0	1109.0	739.0	2008.0
0.065	1018.0	796.0	222.0	179.0	839.0
0.075	3619.0	2400.0	1219.0	1053.0	2566.0
0.085	3651.0	2384.0	1267.0	1044.0	2607.0
0.095	2455.0	1794.0	661.0	681.0	1774.0
0.105	4712.0	3178.0	1534.0	1704.0	3008.0
0.115	4017.0	2697.0	1320.0	1515.0	2502.0
0.125	5371.0	3619.0	1752.0	2086.0	3285.0
0.135	6838.0	4464.0	2374.0	2877.0	3961.0
0.145	5318.0	3568.0	1750.0	2204.0	3114.0
0.155	5481.0	3842.0	1639.0	2326.0	3155.0
0.165	6616.0	4471.0	2145.0	2965.0	3651.0
0.175	6028.0	4119.0	1909.0	2736.0	3292.0
0.185	5667.0	3823.0	1844.0	2649.0	3018.0
0.195	5913.0	4152.0	1761.0	2719.0	3194.0
0.205	6710.0	4747.0	1963.0	3267.0	3443.0
0.215	5177.0	3823.0	1354.0	2365.0	2812.0
0.225	5552.0	4158.0	1394.0	2542.0	3010.0
0.235	3742.0	2854.0	888.0	1715.0	2027.0
0.245	3964.0	3058.0	906.0	1878.0	2086.0
0.255	6062.0	4448.0	1614.0	3018.0	3044.0
0.265	7170.0	5177.0	1993.0	3580.0	3590.0
0.275	5548.0	4099.0	1449.0	2815.0	2733.0
0.285	6162.0	4495.0	1667.0	3106.0	3056.0
0.295	6039.0	4368.0	1671.0	3086.0	2953.0
0.305	4179.0	3089.0	1090.0	2093.0	2086.0
0.315	4939.0	3635.0	1304.0	2525.0	2414.0
0.325	4446.0	3350.0	1096.0	2279.0	2167.0
0.335	3155.0	2542.0	613.0	1548.0	1607.0
0.345	2776.0	2177.0	599.0	1385.0	1391.0
0.355	2629.0	2099.0	530.0	1335.0	1294.0
0.365	2445.0	1921.0	524.0	1207.0	1238.0
0.375	2547.0	2082.0	465.0	1238.0	1309.0
0.385	2461.0	2047.0	414.0	1177.0	1284.0
0.395	1616.0	1377.0	239.0	789.0	827.0
0.405	2051.0	1703.0	348.0	1064.0	987.0
0.415	1411.0	1180.0	231.0	692.0	719.0
0.425	1198.0	1031.0	167.0	583.0	615.0
0.435	1004.0	897.0	107.0	494.0	510.0
0.445	806.0	717.0	89.0	407.0	399.0
0.455	861.0	756.0	105.0	456.0	405.0
0.465	715.0	642.0	73.0	375.0	340.0
0.475	424.0	389.0	35.0	174.0	250.0
0.485	321.0	296.0	25.0	158.0	163.0
0.495	261.0	248.0	13.0	124.0	137.0
