# KiDS-450: z        n(z)
0             2.3083959348e-02
0.0507246     1.3594587386e-01
0.101449      2.6288178810e-01
0.152174      6.9776439625e-01
0.202899      6.1627313759e-01
0.253623      7.4878613604e-01
0.304348      1.7608773909e+00
0.355072      1.0302687342e+00
0.405797      8.8660776765e-01
0.456522      1.1737309626e+00
0.507246      1.4267007055e+00
0.557971      7.2838590374e-01
0.608696      1.0277210367e+00
0.65942       1.1563571960e+00
0.710145      1.5261345423e+00
0.76087       9.0066020100e-01
0.811594      9.9632100281e-01
0.862319      4.5604991317e-01
0.913043      6.3736365390e-01
0.963768      6.4481611420e-01
1.01449       4.9024623672e-01
1.06522       4.0165433705e-01
1.11594       3.0498190599e-01
1.16667       3.4681614775e-01
1.21739       3.9413368374e-01
1.26812       2.2516917270e-01
1.31884       2.0630429597e-01
1.36957       1.1285118739e-01
1.42029       5.2044578323e-02
1.47101       1.3145546095e-02
1.52174       2.0720067331e-02
1.57246       2.1255462046e-02
1.62319       1.0811635808e-02
1.67391       1.1770455521e-03
1.72464       8.5990455332e-04
1.77536       8.2610552233e-03
1.82609       5.9733294092e-03
1.87681       4.2405998673e-03
1.92754       4.6192059816e-03
1.97826       9.0939345582e-03
2.02899       9.6823697429e-03
2.07971       8.4983529316e-03
2.13043       1.2243932874e-02
2.18116       1.0177699337e-02
2.23188       3.6779711703e-02
2.28261       4.4737069250e-03
2.33333       3.4347139139e-02
2.38406       4.3111187946e-03
2.43478       9.7049300505e-03
2.48551       2.7178520617e-03
2.53623       2.4588016109e-02
2.58696       2.3394479045e-02
2.63768       9.2116384307e-03
2.68841       2.2820743296e-02
2.73913       8.0839633116e-03
2.78986       3.1538071654e-02
2.84058       2.0279113957e-02
2.8913        1.6820493737e-02
2.94203       1.2788409136e-02
2.99275       8.8113372954e-03
3.04348       4.0645978516e-03
3.0942        5.2427037608e-02
3.14493       9.3641307541e-03
3.19565       1.7720927095e-03
3.24638       9.2719804586e-02
3.2971        4.8836817484e-03
3.34783       2.6875229540e-03
3.39855       1.7764010078e-03
3.44928       2.7436255537e-03
3.5           4.5198277771e-02
