#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.2055e+00   2.2232e+00   7.9738e-01   1.5574e-04  -5.5083e-05   2.5469e-05   9.4906e+04   9.4906e+04
  2.6820e+00   2.7030e+00   9.9280e-01   3.1641e-04   9.0687e-06   2.0887e-05   1.4112e+05   1.4112e+05
  3.2614e+00   3.2873e+00   1.1885e+00   4.2914e-04   3.2851e-05   1.7186e-05   2.0844e+05   2.0844e+05
  3.9660e+00   3.9966e+00   1.3839e+00   7.2016e-04  -1.3476e-05   1.4163e-05   3.0691e+05   3.0691e+05
  4.8228e+00   4.8618e+00   1.5798e+00   1.1677e-03  -7.7699e-06   1.1660e-05   4.5284e+05   4.5284e+05
  5.8647e+00   5.9109e+00   1.7752e+00   1.5993e-03   8.0299e-06   9.6045e-06   6.6737e+05   6.6737e+05
  7.1317e+00   7.1874e+00   1.9708e+00   1.7192e-03   9.9432e-06   7.9069e-06   9.8469e+05   9.8469e+05
  8.6725e+00   8.7404e+00   2.1664e+00   1.6906e-03  -3.3063e-06   6.5104e-06   1.4524e+06   1.4524e+06
  1.0546e+01   1.0626e+01   2.3617e+00   1.5575e-03   9.3047e-06   5.3629e-06   2.1405e+06   2.1405e+06
  1.2825e+01   1.2928e+01   2.5578e+00   1.4000e-03   1.4012e-05   4.4013e-06   3.1779e+06   3.1779e+06
  1.5595e+01   1.5718e+01   2.7533e+00   1.2373e-03   1.4637e-05   3.6510e-06   4.6184e+06   4.6184e+06
  1.8964e+01   1.9103e+01   2.9483e+00   1.0937e-03   7.8955e-06   3.0272e-06   6.7179e+06   6.7179e+06
  2.3061e+01   2.3236e+01   3.1441e+00   1.0112e-03  -1.4112e-07   2.4749e-06   1.0051e+07   1.0051e+07
  2.8044e+01   2.8260e+01   3.3399e+00   9.4437e-04  -7.7520e-06   2.0529e-06   1.4608e+07   1.4608e+07
  3.4102e+01   3.4367e+01   3.5355e+00   8.6445e-04  -9.9020e-06   1.6989e-06   2.1329e+07   2.1329e+07
  4.1470e+01   4.1785e+01   3.7310e+00   7.2074e-04  -1.2627e-05   1.4080e-06   3.1055e+07   3.1055e+07
  5.0429e+01   5.0819e+01   3.9267e+00   6.0401e-04  -1.1892e-05   1.1703e-06   4.4952e+07   4.4952e+07
  6.1324e+01   6.1779e+01   4.1220e+00   4.9617e-04  -3.5130e-06   9.7160e-07   6.5214e+07   6.5214e+07
  7.4572e+01   7.5135e+01   4.3177e+00   3.5730e-04  -1.9726e-06   8.1121e-07   9.3552e+07   9.3552e+07
  9.0683e+01   9.1336e+01   4.5130e+00   2.7687e-04  -1.7367e-05   6.7820e-07   1.3384e+08   1.3384e+08
