#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.2055e+00   2.2229e+00   7.9723e-01   4.2051e-04  -1.6753e-05   1.2493e-05   3.2404e+05   3.2404e+05
  2.6820e+00   2.7032e+00   9.9286e-01   5.5717e-04   4.5342e-05   1.0272e-05   4.7936e+05   4.7936e+05
  3.2614e+00   3.2876e+00   1.1886e+00   9.3280e-04  -8.5158e-06   8.4422e-06   7.0964e+05   7.0964e+05
  3.9660e+00   3.9978e+00   1.3842e+00   1.4419e-03  -2.1623e-05   6.9600e-06   1.0441e+06   1.0441e+06
  4.8228e+00   4.8602e+00   1.5795e+00   2.2321e-03   4.2995e-06   5.7495e-06   1.5300e+06   1.5300e+06
  5.8647e+00   5.9112e+00   1.7753e+00   2.9567e-03   4.4864e-07   4.7410e-06   2.2502e+06   2.2502e+06
  7.1317e+00   7.1881e+00   1.9709e+00   3.2217e-03  -1.3629e-05   3.9078e-06   3.3119e+06   3.3119e+06
  8.6725e+00   8.7395e+00   2.1663e+00   3.1525e-03  -1.8931e-05   3.2295e-06   4.8493e+06   4.8493e+06
  1.0546e+01   1.0630e+01   2.3621e+00   2.8920e-03  -2.4206e-06   2.6531e-06   7.1854e+06   7.1854e+06
  1.2825e+01   1.2920e+01   2.5572e+00   2.5897e-03  -9.3347e-06   2.1918e-06   1.0528e+07   1.0528e+07
  1.5595e+01   1.5721e+01   2.7534e+00   2.2475e-03  -2.3811e-06   1.8050e-06   1.5524e+07   1.5524e+07
  1.8964e+01   1.9093e+01   2.9478e+00   1.9407e-03  -3.3922e-06   1.5068e-06   2.2275e+07   2.2275e+07
  2.3061e+01   2.3246e+01   3.1445e+00   1.6649e-03   4.9854e-06   1.2258e-06   3.3660e+07   3.3660e+07
  2.8044e+01   2.8253e+01   3.3396e+00   1.3957e-03  -6.3980e-07   1.0182e-06   4.8781e+07   4.8781e+07
  3.4102e+01   3.4376e+01   3.5358e+00   1.0856e-03  -2.5811e-06   8.3608e-07   7.2352e+07   7.2352e+07
  4.1470e+01   4.1795e+01   3.7312e+00   8.5774e-04  -2.8590e-06   6.9399e-07   1.0501e+08   1.0501e+08
  5.0429e+01   5.0834e+01   3.9270e+00   7.1760e-04  -7.6870e-06   5.7322e-07   1.5392e+08   1.5392e+08
  6.1324e+01   6.1803e+01   4.1224e+00   6.2153e-04   6.9983e-08   4.7560e-07   2.2360e+08   2.2360e+08
  7.4572e+01   7.5134e+01   4.3177e+00   5.0906e-04  -6.2410e-06   3.9302e-07   3.2743e+08   3.2743e+08
  9.0683e+01   9.1340e+01   4.5130e+00   4.3988e-04  -1.1405e-05   3.2902e-07   4.6719e+08   4.6719e+08
